"";"text";"created_at";"screen_name";"status_id";"favorite_count";"retweet_count";"hashtags";"is_retweet";"is_quote"
"29";"Going three. Halep levels the match with Davis 4-6, 6-4. #ausopen";"2018-01-20 01:39:58";"TennisNewsTPN";"954528898846482434";0;0;"ausopen";FALSE;FALSE
"30";"Channel 7 commentator just said Safarova was a finalist at the 2015 French Open, losing to...... Venus Williams... ";"2018-01-20 01:39:52";"darcstei";"954528875479842816";0;0;"AusOpen";FALSE;FALSE
"31";"Simo fights back into a decider set. Tuned up her aggressiveness just in time to stay in the match. It's clear that Simona has what it takes to overcome Lauren Davis but she won't be able to do it by passively counterpunching. Come on @Simona_Halep! ";"2018-01-20 01:39:50";"dawnncys";"954528865866534912";0;0;"AusOpen";FALSE;FALSE
"32";"Yes girl. Finally. One more now.  #Halep";"2018-01-20 01:39:43";"paulina_lemos";"954528837412573184";0;0;"AusOpen Halep";FALSE;FALSE
"33";"Since when did Halep start making this loud grunting noise on each hit? Pretty sure this is not a norm from her and it's annoying #ausopen";"2018-01-20 01:39:32";"ruenoor";"954528791400976384";0;0;"ausopen";FALSE;FALSE
"34";"@LaurenDavis93 drops the second set 6-4. Off to a third set.  #laurenisthebest";"2018-01-20 01:39:28";"lauren_davisfan";"954528774929952768";0;0;"AusOpen laurenisthebest";FALSE;FALSE
"35";" Romania  @Simona_Halep fights back! She's going the distance with  United States  @LaurenDavis93, taking the 2nd set 6-4.

#7Tennis  ";"2018-01-20 01:39:21";"7tennis";"954528742239432704";1;2;"7Tennis AusOpen";FALSE;FALSE
"36";"Anyone going to Margaret Court tonight to only watch Djokovic? I want to ONLY watch Radwanska but there are no general public tickets left!  loudly crying face  Yes, payment will be offered!  @AustralianOpen";"2018-01-20 01:39:18";"speckii_x";"954528730143076352";0;0;"AusOpen";FALSE;FALSE
"37";"Into the 4th Round. @Madison_Keys pulls off the victory against @ana_bogdan 6-3 6-4. In the #Halep v. #Davis match, the score is tied 1-1 and a 3d set will decide the match. @WTA ";"2018-01-20 01:39:12";"AuroraCalliope";"954528707141685248";0;0;"Halep Davis AusOpen";FALSE;FALSE
"38";"Quick poll! Who wins the third?

";"2018-01-20 01:39:09";"AustralianOpen";"954528694147543040";13;6;"AusOpen";FALSE;FALSE
"39";"Going three!

Halep steadies through the second set to take it 64 and force a decider vs. Davis. ";"2018-01-20 01:39:07";"WTA_insider";"954528683875643392";10;4;"AusOpen";FALSE;FALSE
"40";"Pretty impressed with @LaurenDavis93 technical and tactical skills. She could have been big if she were taller, I guess.  #SleepIsForTheWeak";"2018-01-20 01:39:01";"tslinger";"954528660538691584";0;0;"AusOpen SleepIsForTheWeak";FALSE;FALSE
"41";" tennis  
Halep gets the second set... meanwhile Murray/Soares trail Paes/Raja *34 (on serve)... getting to squeaky bum time there...";"2018-01-20 01:38:56";"britwatchsports";"954528639839649793";0;0;"AusOpen";FALSE;FALSE
"42";"6-4. Simona wins the second set. We're going to a decider. ";"2018-01-20 01:38:46";"lekisaki";"954528597204721665";0;0;"AusOpen";FALSE;FALSE
"43";"Come on Davis! Win the 3rd set United States  tennis  ";"2018-01-20 01:38:40";"m3kcmf";"954528572332527617";1;0;"AusOpen";FALSE;FALSE
"44";"Thiem has 6:0 in head to head meetings with Mannarino. The Frenchman without a solution? ";"2018-01-20 01:38:37";"h2hstats";"954528557488922624";0;0;"AusOpen";FALSE;FALSE
"45";"Simona Halep levels the match on Rod Laver Arena by taking the second set 6-4 over Lauren Davis. #5AS ";"2018-01-20 01:38:35";"5acesports";"954528550878621696";0;0;"5AS AusOpen";FALSE;FALSE
"46";"Just realised we are likely to get Pliskova vs Strycova in the next round. Those two are not on good terms right now, so it would be very entertaining...  smirking face  smirking face  #ausopen";"2018-01-20 01:38:34";"WTAAddict";"954528545002332160";0;0;"ausopen";FALSE;FALSE
"47";".@ashbar96 is going to have a long, long day at the  with both singles and doubles to fight for:  #DoublesTake ";"2018-01-20 01:38:33";"Tennis";"954528541021896704";1;0;"AusOpen DoublesTake";FALSE;FALSE
"48";"Come on! @simona_halep  oncoming fist  flexed biceps  flexed biceps  tennis  #ausopen";"2018-01-20 01:38:26";"esraturgut05";"954528513494790144";0;0;"ausopen";FALSE;FALSE
"49";"#Sandgren began  '18 with a 2-8 record at the main-level, #Marterer 0-14 (!) - one of them will play in the 4th round on Monday; the last similarly inexperienced player at this stage in Melbourne, it was #Hrbaty in 1997 (1-3 record at the time)";"2018-01-20 01:38:26";"VoodeMar";"954528513222160384";0;0;"Sandgren AusOpen Marterer Hrbaty";FALSE;FALSE
"50";"Come on Halep!!! #ausopen";"2018-01-20 01:38:23";"sellers_jamie";"954528501654343681";0;0;"ausopen";FALSE;FALSE
"51";"Strap yourself in!

@simona_halep forces this  R3 clash into a decider after taking the second set 6-4. ";"2018-01-20 01:38:23";"FSAsiaLive";"954528501276622849";0;0;"AusOpen";FALSE;FALSE
"52";"@OmnisportNews Halep strikes back. Taking the second set 6-4 to level the match against Davis.

Going down to the wire on RLA.

";"2018-01-20 01:38:22";"Sachk0";"954528495077507075";0;0;"AusOpen";FALSE;FALSE
"53";"No.-1 seed Simona Halep wins the second set 6-4 over Lauren Davis to force a decisive third set. ";"2018-01-20 01:38:21";"SI_Tennis";"954528493693521920";2;1;"AusOpen";FALSE;FALSE
"54";"We're into a decider in #Halep vs #Davis, both players seem to be struggling with minor injuries. Who do you think will progress to round 4? ";"2018-01-20 01:38:21";"VolletaTennis";"954528493588615168";0;0;"Halep Davis AusOpen";FALSE;FALSE
"55";"One set all, #halep playing better. Davis had missed opportunities in set 2 #ausopen";"2018-01-20 01:38:20";"hoanlam";"954528487917809665";0;0;"halep ausopen";FALSE;FALSE
"56";"Yaaaas great comeback Halep ";"2018-01-20 01:38:18";"BVBGurrl";"954528479474667520";0;0;"AusOpen";FALSE;FALSE
"57";"Ok #Halep is making me hate her with all that freaking GRUNTING shes started doing.  There need to be fines for that ";"2018-01-20 01:38:16";"JwatksJackie";"954528473040736256";0;0;"Halep AusOpen";FALSE;FALSE
"58";"Halep responds.

The No.1 takes the second set vs Davis 6-4. We're going three... popcorn 

 ";"2018-01-20 01:38:09";"AustralianOpen";"954528443185561600";60;16;"AusOpen";FALSE;FALSE
"59";" hot springs A bit COOLer weather 2day @RodLaverArena  popcorn  

 Romania @Simona_Halep   VS button  @LaurenDavis93  United States 

 tennis  4-6, 6-4    UP! button  Audience screaming out loud ""Bravo!""

 police car light   DECIDER!   ";"2018-01-20 01:38:08";"travel__Sports";"954528436588109824";0;0;"AusOpen";FALSE;FALSE
"60";" Australia Zara Brankovic is out of the  junior girl's singles after falling to  Russia Daria Frayman 5-7 2-6.

Great fight Zara  flexed biceps ";"2018-01-20 01:38:06";"TennisAustralia";"954528427880558592";1;0;"AusOpen";FALSE;FALSE
"61";"Say what you want about sharapovas grunt, but hers is quick. Azarenka and Halep are still making noise way after they actually hit it. @TennisChannel @Martina ";"2018-01-20 01:38:05";"daviddkrauss";"954528424181288960";1;0;"AusOpen";FALSE;FALSE
"62";"Dont blush baby sounds like she had a big night. #ausopen";"2018-01-20 01:37:58";"Steelomyhearto";"954528395123044352";0;0;"ausopen";FALSE;FALSE
"63";"Halep-Davis going three on RLA. Halep fighting through an injury ";"2018-01-20 01:37:54";"ajdeaidan";"954528378782212097";0;0;"AusOpen";FALSE;FALSE
"64";"Australian Open Early Payout

Get paid out if your player leads 2-0 

 ";"2018-01-20 01:37:54";"Rippa";"954528377888739328";0;0;"AusOpen";FALSE;FALSE
"65";"Because 3 days wasn't enough tennis  Australia  tennis  Australia  tennis   ";"2018-01-20 01:37:48";"MAMcKinlay";"954528352315912192";0;0;"AusOpen";FALSE;FALSE
"66";"Truly think Halep should be cautioned about her excessive noise  2018";"2018-01-20 01:37:46";"Livinat40";"954528346225995777";1;0;"AusOpen AusOpen2018";FALSE;FALSE
"67";"#Halep levels the match at one set all and moves back into $1.25. The world number one traded at $2 at one stage.

Market: 

#GWTG  ";"2018-01-20 01:37:36";"Betfair_Aus";"954528302949019649";0;0;"Halep GWTG AusOpen";FALSE;FALSE
"68";"Yes! Simona takes 2nd to even up with Lauren Davis. A third we go ";"2018-01-20 01:37:25";"KristinaElle";"954528255343706113";0;0;"AusOpen";FALSE;FALSE
"69";"I love that @Martina just called out Halep's (new this season) grunt at the  What's with all the grunting tennis players?";"2018-01-20 01:37:12";"BamaEd";"954528202952757248";0;0;"AusOpen";FALSE;FALSE
"70";"Oh that lucky towel, no?  smiling face with smiling eyes  smiling face with heart-eyes 
#PracticeSaturday20Jan  #VamosRafa ";"2018-01-20 01:37:05";"Rafaerl_ita";"954528172862668800";2;1;"PracticeSaturday20Jan AusOpen VamosRafa";FALSE;FALSE
"71";"Simona Halep holds to love, takes the 2nd set 6-4.

Going three on Laver ";"2018-01-20 01:37:00";"josemorgado";"954528152566534149";1;1;"AusOpen";FALSE;FALSE
"72";"Madison Keys sends a strong warning to her Australian Open rivals with a clean win into the fourth round:  @7tennis  ";"2018-01-20 01:36:48";"7Sport";"954528103736385536";0;0;"AusOpen";FALSE;FALSE
"73";"This grunt from Halep  expressionless face  #ausopen";"2018-01-20 01:36:40";"AramintaHRoss";"954528069301096448";0;0;"ausopen";FALSE;FALSE
"74";" Belarus Sasnovich &amp;  France (8) Garcia are about to start their  third round match at this link:  ";"2018-01-20 01:36:35";"TSNTennis";"954528048791150592";1;0;"AusOpen";FALSE;FALSE
"75";"Sam Stosur in the booth for Sasnovich/Garcia! I dig it. #ausopen";"2018-01-20 01:36:31";"vrcsports";"954528032097751040";4;1;"ausopen";FALSE;FALSE
"76";"Halep is strangely calm. It's kinda scary ";"2018-01-20 01:36:08";"SoLaMenace";"954527936031461376";0;0;"AusOpen";FALSE;FALSE
"77";"Geez a bit harsh @Leander!  face with tears of joy 

#7Tennis  ";"2018-01-20 01:36:08";"7tennis";"954527934202589184";2;0;"7Tennis AusOpen";FALSE;FALSE
"78";"I doubt #Dimitrov will come for practice #ausopen";"2018-01-20 01:36:00";"ckookiekook";"954527902787186688";0;0;"Dimitrov ausopen";FALSE;FALSE
"79";"Nick Kyrgios won through in a brilliant match while there were a few more upsets on the women's side of the draw.

Read our  Day 5 recap here:  ";"2018-01-20 01:35:46";"tabcomau";"954527840296304640";1;0;"AusOpen";FALSE;FALSE
"80";"Covering the mouth in doubles to discuss tactics is a farce. Surely nobody can read lips from 25 metres away ";"2018-01-20 01:35:29";"ShaunAidsBurger";"954527772541513728";0;0;"AusOpen";FALSE;FALSE
"81";"Kerber Vs Sharapova, I'm excited for his game grimacing face  grinning face  grimacing face  grinning face   #AustralianOpen  2018";"2018-01-20 01:35:27";"rorixm";"954527762332766208";1;0;"AusOpen AustralianOpen AusOpen2018";FALSE;FALSE
"82";"Hats off to  crown  @NickKyrgios has had it tough from media &amp; fans but has hung tough &amp; worked hard! Now appropriately the whole of  Australia  &amp; prob  globe showing Americas  behind you! Well done on your efforts in  so far &amp; all the best from rest of tournament #KingKyrigos #tennis";"2018-01-20 01:35:09";"halfbackflanka";"954527687544004608";0;0;"AusOpen KingKyrigos tennis";FALSE;FALSE
"83";"@LaurenDavis93 needs to get this #break. Down 5-4 in the second set.  #laurenisthebest";"2018-01-20 01:34:54";"lauren_davisfan";"954527624944111617";0;0;"break AusOpen laurenisthebest";FALSE;FALSE
"84";"Watching @LaurenDavis93 really take it to Halep at the  Go Lauren  United States ";"2018-01-20 01:34:53";"BeachnBoards";"954527620875608064";0;0;"AusOpen";FALSE;FALSE
"85";"SO I WISH SUPER DUPER ALL THE BEST TO YOU,@MariaSharapova FOR TODAY'S TENNIS MATCH OF AUSTRALIAN OPEN2018 OR  OR AUSTRALIAN OPEN TOURNAMENT OF THIS YEAR2018 ON TODAY'S DATE AS JANUARY20 OF 2018!!!";"2018-01-20 01:34:40";"ShravanSaxena";"954527565489868800";0;0;"AusOpen";FALSE;FALSE
